environment,protocol,varying,object-count,object-size,rate-limit,delay-time,delay-jitter,delay-correlation,delay-distribution,loss-p,loss-r,loss-h,loss-k,corrupt-percent,corrupt-correlation,duplicate-percent,duplicate-correlation,page-load-time,page-load-time-standard-deviation
ec2,tcp,delay-time,5,10,50.0,50,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,725.3918799993698,15.548299828044831
ec2,tcp,delay-time,5,10,50.0,100,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,1123.4145799989346,15.480275007461294
ec2,tcp,delay-time,5,10,50.0,150,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,1519.7010399989085,16.53152380715236
ec2,tcp,delay-time,5,10,50.0,200,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,1929.0268600007403,71.87878306169726
ec2,tcp,delay-jitter,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,478.8599599999725,17.255494152187616
ec2,tcp,delay-jitter,5,10,50.0,20,20,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,554.9692199999117,42.46685112599419
ec2,tcp,delay-jitter,5,10,50.0,20,40,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,658.3840199996484,75.90142903386953
ec2,tcp,delay-jitter,5,10,50.0,20,60,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,803.200019999349,115.38943130031213
ec2,tcp,delay-jitter,5,10,50.0,20,80,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,913.2287399985944,111.47946452038629
ec2,tcp,delay-jitter,5,10,50.0,20,100,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,1005.2573000002303,161.52481957138573
