environment,protocol,varying,object-count,object-size,rate-limit,delay-time,delay-jitter,delay-correlation,delay-distribution,loss-p,loss-r,loss-h,loss-k,corrupt-percent,corrupt-correlation,duplicate-percent,duplicate-correlation,page-load-time,page-load-time-standard-deviation
ec2,quic,delay-time,5,10,50.0,100,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,481.40142000004744,101.74623131140265
ec2,quic,delay-time,5,10,50.0,150,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,691.5494900000523,116.11067654024518
ec2,quic,"delay-time, delay-jitter",5,10,50.0,50,10,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,274.15726000000177,72.77301253616095
ec2,quic,"delay-time, delay-jitter",5,10,50.0,100,20,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,541.52333,132.08837069342633
ec2,quic,"delay-time, delay-jitter",5,10,50.0,150,30,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,809.8619099999631,235.118544252266
ec2,tcp,none,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,112.95288999999684,55.518479681421645
ec2,tcp,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,122.99978999999439,52.73740739895213
ec2,tcp,rate-limit,5,10,10.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,123.59063999996579,78.09028690337168
ec2,tcp,rate-limit,5,10,25.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,104.9827699999878,32.20918651030678
ec2,tcp,rate-limit,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,112.95288999999684,55.518479681421645
ec2,tcp,object-count,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,112.95288999999684,55.518479681421645
ec2,tcp,object-count,10,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,132.975720000004,38.34277428646805
ec2,tcp,object-count,50,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,374.2837999999847,103.02716681908392
ec2,tcp,object-count,100,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,575.1683200000389,86.29737757988907
ec2,tcp,object-count,500,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,1622.581960000025,269.38387712156884
ec2,tcp,object-size,5,5,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,88.88215999998465,72.71689331160835
ec2,tcp,object-size,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,112.95288999999684,55.518479681421645
ec2,tcp,object-size,5,100,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,342.57864999999583,82.89876229756285
ec2,tcp,object-size,5,200,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,538.1455099999857,108.73180974879753
ec2,tcp,object-size,5,500,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,889.3891599999641,181.84189764546537
ec2,tcp,object-size,5,1000,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,1322.607220000018,290.72779089716806
ec2,tcp,loss-p,5,10,50.0,20,5,25,normal,0.0,0.99,0,1.0,0.0,25,0.0,25,120.84931999998844,79.85099948679375
ec2,tcp,loss-p,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,112.95288999999684,55.518479681421645
ec2,tcp,loss-p,5,10,50.0,20,5,25,normal,0.02,0.99,0,1.0,0.0,25,0.0,25,127.03931000000921,83.64035354651062
