protocol,latency,varying,rate-limit,packet-loss,object-count,object-size,page-load-time
quic,0,latency,10.0,0.0,0,100,108.24099999445
quic,0,latency,10.0,0.0,0,100,103.349999990314
quic,0,latency,10.0,0.0,0,100,102.143999989494
quic,0,latency,10.0,0.0,0,100,103.696000005584
quic,0,latency,10.0,0.0,0,100,110.587999995914
quic,0,latency,10.0,0.0,0,100,98.2890000013867
quic,0,latency,10.0,0.0,0,100,108.833000005689
quic,0,latency,10.0,0.0,0,100,108.268000010867
quic,0,latency,10.0,0.0,0,100,106.144999997923
quic,0,latency,10.0,0.0,0,100,101.32300000987
quic,0,latency,10.0,0.0,0,100,98.5599999985425
quic,0,latency,10.0,0.0,0,100,110.401999991154
quic,0,latency,10.0,0.0,0,100,104.277999998885
quic,0,latency,10.0,0.0,0,100,114.742000005208
quic,0,latency,10.0,0.0,0,100,98.0949999939185
quic,0,latency,10.0,0.0,0,100,103.401999993366
quic,0,latency,10.0,0.0,0,100,101.382000008016
quic,0,latency,10.0,0.0,0,100,115.595999988727
quic,0,latency,10.0,0.0,0,100,111.584999991464
quic,0,latency,10.0,0.0,0,100,103.477999989991
quic,0,latency,10.0,0.0,0,100,102.045999999973
quic,0,latency,10.0,0.0,0,100,103.374000012991
quic,0,latency,10.0,0.0,0,100,105.504999999539
quic,0,latency,10.0,0.0,0,100,107.472999996389
quic,0,latency,10.0,0.0,0,100,107.287999999244
quic,0,latency,10.0,0.0,0,100,102.469999997993
quic,0,latency,10.0,0.0,0,100,106.705999991391
quic,0,latency,10.0,0.0,0,100,107.212000002619
quic,0,latency,10.0,0.0,0,100,111.634999993839
quic,0,latency,10.0,0.0,0,100,104.037999990396
quic,0,latency,10.0,0.0,0,100,103.879999995115
quic,0,latency,10.0,0.0,0,100,108.833000005689
quic,0,latency,10.0,0.0,0,100,104.965999998967
quic,0,latency,10.0,0.0,0,100,107.205000007525
quic,0,latency,10.0,0.0,0,100,107.510000001639
quic,0,latency,10.0,0.0,0,100,107.241999998223
quic,0,latency,10.0,0.0,0,100,102.0739999949
quic,0,latency,10.0,0.0,0,100,104.315000004135
quic,50,latency,10.0,0.0,0,100,214.699000003748
quic,50,latency,10.0,0.0,0,100,199.246999996831
quic,50,latency,10.0,0.0,0,100,204.818999991403
quic,50,latency,10.0,0.0,0,100,206.727999990108
quic,50,latency,10.0,0.0,0,100,196.465999993961
quic,50,latency,10.0,0.0,0,100,199.263000002247
quic,50,latency,10.0,0.0,0,100,198.587000006228
quic,50,latency,10.0,0.0,0,100,217.825999992783
quic,50,latency,10.0,0.0,0,100,200.856999988901
quic,50,latency,10.0,0.0,0,100,203.503999990062
quic,50,latency,10.0,0.0,0,100,198.367999997572
quic,50,latency,10.0,0.0,0,100,205.755000002682
quic,50,latency,10.0,0.0,0,100,204.154000006383
quic,50,latency,10.0,0.0,0,100,214.793000006466
quic,50,latency,10.0,0.0,0,100,205.164999992121
quic,50,latency,10.0,0.0,0,100,206.622999990941
quic,50,latency,10.0,0.0,0,100,208.966000005603
quic,50,latency,10.0,0.0,0,100,204.652000000351
quic,50,latency,10.0,0.0,0,100,197.842999987188
quic,50,latency,10.0,0.0,0,100,208.142000003136
quic,50,latency,10.0,0.0,0,100,206.340999997337
quic,50,latency,10.0,0.0,0,100,202.686999997241
quic,50,latency,10.0,0.0,0,100,202.413000006345
quic,50,latency,10.0,0.0,0,100,207.786999992095
quic,50,latency,10.0,0.0,0,100,239.090999995824
quic,50,latency,10.0,0.0,0,100,204.58299999882
quic,50,latency,10.0,0.0,0,100,204.525000008289
quic,50,latency,10.0,0.0,0,100,207.497999988846
quic,50,latency,10.0,0.0,0,100,203.477999995812
quic,50,latency,10.0,0.0,0,100,206.344999998692
quic,50,latency,10.0,0.0,0,100,206.493000005139
quic,50,latency,10.0,0.0,0,100,203.087000001688
quic,50,latency,10.0,0.0,0,100,210.626000000048
quic,50,latency,10.0,0.0,0,100,203.401000006124
quic,50,latency,10.0,0.0,0,100,212.559000006877
quic,50,latency,10.0,0.0,0,100,202.571999994689
quic,50,latency,10.0,0.0,0,100,212.907000008272
quic,50,latency,10.0,0.0,0,100,204.475999998976
quic,50,latency,10.0,0.0,0,100,202.659000002313
quic,50,latency,10.0,0.0,0,100,203.176000009989
quic,50,latency,10.0,0.0,0,100,211.639000001014
quic,50,latency,10.0,0.0,0,100,203.116999997292
quic,50,latency,10.0,0.0,0,100,204.673000000184
quic,50,latency,10.0,0.0,0,100,204.767000002903
quic,50,latency,10.0,0.0,0,100,200.44400000188
quic,50,latency,10.0,0.0,0,100,199.448999992455
quic,50,latency,10.0,0.0,0,100,204.719000001205
quic,50,latency,10.0,0.0,0,100,204.015999988769
quic,50,latency,10.0,0.0,0,100,201.28300000215
quic,50,latency,10.0,0.0,0,100,205.666000008932
quic,50,latency,10.0,0.0,0,100,202.200999992783
quic,50,latency,10.0,0.0,0,100,207.132999988971
quic,50,latency,10.0,0.0,0,100,203.9700000023
quic,50,latency,10.0,0.0,0,100,206.692000007024
quic,50,latency,10.0,0.0,0,100,208.847000001697
quic,50,latency,10.0,0.0,0,100,202.357000001939
quic,50,latency,10.0,0.0,0,100,205.501000004006
quic,50,latency,10.0,0.0,0,100,206.166000003577
quic,50,latency,10.0,0.0,0,100,206.238999991911
quic,50,latency,10.0,0.0,0,100,201.488999999128
quic,50,latency,10.0,0.0,0,100,213.563999990583
quic,50,latency,10.0,0.0,0,100,205.696000004536
quic,50,latency,10.0,0.0,0,100,205.766999992193
quic,50,latency,10.0,0.0,0,100,206.741000001784
quic,50,latency,10.0,0.0,0,100,206.310000008671
quic,50,latency,10.0,0.0,0,100,211.381000000983
quic,50,latency,10.0,0.0,0,100,202.376999994158
